age,unit,sex,geo\time	1990	1991	1992	1993	1994	1995	1996	1997	1998	1999	2000	2001	2002	2003	2004	2005	2006	2007	2008	2009	2010	2011	2012	2013	2014	2015	2016
TOTAL,PC_ACT,T,AT	 	 	 	 	4.3 	4.2 	4.7 	4.7 	4.7 	4.2 	3.9 	4.0 	4.4 	4.8 	5.5 	5.6 	5.3 	4.9 	4.1 	5.3 	4.8 	4.6 	4.9 	5.4 	5.6 	5.7 	6.0 
TOTAL,PC_ACT,T,BE	6.6 	6.4 	7.1 	8.6 	9.8 	9.7 	9.5 	9.2 	9.3 	8.5 	6.9 	6.6 	7.5 	8.2 	8.4 	8.5 	8.3 	7.5 	7.0 	7.9 	8.3 	7.2 	7.6 	8.4 	8.5 	8.5 	8.0 
TOTAL,PC_ACT,T,BG	 	 	 	 	 	 	 	 	 	 	16.4 	19.5 	18.2 	13.7 	12.1 	10.1 	9.0 	6.9 	5.6 	6.8 	10.3 	11.3 	12.3 	13.0 	11.4 	9.2 	7.7 
TOTAL,PC_ACT,T,CY	 	 	 	 	 	 	 	 	 	 	4.8 	3.9 	3.5 	4.1 	4.6 	5.3 	4.6 	3.9 	3.7 	5.4 	6.3 	7.9 	11.9 	15.9 	16.1 	15.0 	13.3 
TOTAL,PC_ACT,T,CZ	 	 	 	4.3 	4.3 	4.0 	3.9 	4.8 	6.5 	8.7 	8.8 	8.1 	7.3 	7.8 	8.3 	7.9 	7.1 	5.3 	4.4 	6.7 	7.3 	6.7 	7.0 	7.0 	6.1 	5.1 	4.0 
TOTAL,PC_ACT,T,DE	 	5.5 	6.6 	7.8 	8.4 	8.2 	8.9 	9.6 	9.4 	8.6 	7.9 	7.8 	8.6 	9.7 	10.4 	11.2 	10.1 	8.5 	7.4 	7.6 	7.0 	5.8 	5.4 	5.2 	5.0 	4.6 	4.1 
TOTAL,PC_ACT,T,DK	7.2 	7.9 	8.6 	9.6 	7.7 	6.7 	6.3 	5.2 	4.9 	5.2 	4.3 	4.5 	4.6 	5.4 	5.5 	4.8 	3.9 	3.8 	3.4 	6.0 	7.5 	7.6 	7.5 	7.0 	6.6 	6.2 	6.2 
TOTAL,PC_ACT,T,EA18	 	 	 	 	 	 	 	 	 	9.6 	8.8 	8.2 	8.5 	9.0 	9.3 	9.1 	8.4 	7.5 	7.6 	9.6 	10.1 	10.1 	11.4 	12.0 	11.6 	10.9 	10.0 
TOTAL,PC_ACT,T,EA19	 	 	 	 	 	 	 	 	10.4 	9.7 	8.9 	8.3 	8.6 	9.1 	9.3 	9.1 	8.4 	7.5 	7.6 	9.6 	10.2 	10.2 	11.4 	12.0 	11.6 	10.9 	10.0 
TOTAL,PC_ACT,T,EE	 	 	 	 	 	 	 	 	 	 	14.6 	13.0 	11.2 	10.3 	10.1 	8.0 	5.9 	4.6 	5.5 	13.5 	16.7 	12.3 	10.0 	8.6 	7.4 	6.2 	6.8 
TOTAL,PC_ACT,T,EL	 	 	 	 	 	 	 	 	11.1 	12.0 	11.2 	10.7 	10.3 	9.7 	10.6 	10.0 	9.0 	8.4 	7.8 	9.6 	12.7 	17.9 	24.5 	27.5 	26.5 	24.9 	23.5 
TOTAL,PC_ACT,T,ES	15.5 	15.5 	17.0 	20.8 	22.0 	20.7 	19.9 	18.4 	16.4 	13.6 	11.9 	10.6 	11.5 	11.5 	11.0 	9.2 	8.5 	8.2 	11.3 	17.9 	19.9 	21.4 	24.8 	26.1 	24.5 	22.1 	19.6 
TOTAL,PC_ACT,T,EU27	 	 	 	 	 	 	 	 	 	 	8.8 	8.6 	8.9 	9.1 	9.2 	9.0 	8.2 	7.2 	7.0 	9.0 	9.6 	9.6 	10.4 	10.8 	10.2 	9.4 	8.5 
TOTAL,PC_ACT,T,EU28			 	 	 	 	 	 	 	 	8.9 	8.7 	9.0 	9.2 	9.3 	9.0 	8.2 	7.2 	7.0 	9.0 	9.6 	9.7 	10.5 	10.9 	10.2 	9.4 	8.5 
TOTAL,PC_ACT,T,FI	3.2 	6.6 	11.7 	16.3 	16.6 	15.4 	14.6 	12.7 	11.4 	10.2 	9.8 	9.1 	9.1 	9.0 	8.8 	8.4 	7.7 	6.9 	6.4 	8.2 	8.4 	7.8 	7.7 	8.2 	8.7 	9.4 	8.8 
TOTAL,PC_ACT,T,FR	7.9 	8.1 	9.0 	10.1 	10.4 	10.2	10.5 	10.7 	10.3 	10.0 	8.6 	7.8 	7.9 	8.5 	8.9 	8.9 	8.8 	8.0 	7.4 	9.1 	9.3 	9.2 	9.8 	10.3 	10.3 	10.4 	10.0 
TOTAL,PC_ACT,T,HR	 	 	 	 	 	 	 	 	 	 	15.8 	15.9 	15.1 	14.2 	13.9 	13.0 	11.6 	9.9 	8.6 	9.2 	11.7 	13.7 	16.0 	17.3 	17.3 	16.3 	12.8 
TOTAL,PC_ACT,T,HU	 	 	 	 	 	 	9.9 	9.1 	8.7 	6.9 	6.3 	5.6 	5.6 	5.8 	6.1 	7.2 	7.5 	7.4 	7.8 	10.0 	11.2 	11.0 	11.0 	10.2 	7.7 	6.8 	5.1 
TOTAL,PC_ACT,T,IE	13.4 	14.7 	15.4 	15.6 	14.3 	12.3 	11.7 	9.9 	7.5 	5.7 	4.3 	3.9 	4.5 	4.6 	4.5 	4.4 	4.5 	4.7 	6.4 	12.0 	13.9 	14.7 	14.7 	13.1 	11.3 	9.4 	7.9 
TOTAL,PC_ACT,T,IS	 	 	 	 	 	 	 	 	 	 	 	 	 	3.3 	3.1 	2.6 	2.9 	2.3 	3.0 	7.2 	7.6 	7.1 	6.0 	5.4 	5.0 	4.0 	3.0 
TOTAL,PC_ACT,T,IT	8.9 p	8.5 p	8.8 	9.7 	10.6 	11.2 	11.2 	11.2 	11.3 	10.9 	10.0 	9.0 	8.5 	8.4 	8.0 	7.7 	6.8 	6.1 	6.7 	7.7 	8.4 	8.4 	10.7 	12.1 	12.7 	11.9 	 
TOTAL,PC_ACT,T,JP	2.1 	2.1 	2.2 	2.5 	2.9 	3.1 	3.4 	3.4 	4.1 	4.7 	4.7 	5.0 	5.4 	5.3 	4.7 	4.4 	4.1 	3.8 	4.0 	5.1 	5.0 	4.6 b	4.3 	4.0 	3.6 	3.4 	3.1 
TOTAL,PC_ACT,T,LT	 	 	 	 	 	 	 	 	13.2 	14.6 	16.4 	17.4 	13.8 	12.4 	10.9 	8.3 	5.8 	4.3 	5.8 	13.8 	17.8 	15.4 	13.4 	11.8 	10.7 	9.1 	7.9 
TOTAL,PC_ACT,T,LU	1.7 	1.6 	2.1 	2.6 	3.2 	2.9 	2.9 	2.7 	2.7 	2.4 	2.2 	1.9 	2.6 	3.8 	5.0 	4.6 	4.6 	4.2 	4.9 	5.1 	4.6 	4.8 	5.1 	5.9 	6.0 	6.5 	6.3 
TOTAL,PC_ACT,T,LV	 	 	 	 	 	 	 	 	 	14.1 	14.3 	13.5 	12.5 	11.6 	11.7 	10.0 	7.0 	6.1 	7.7 	17.5 	19.5 	16.2 	15.0 	11.9 	10.8 	9.9 	9.6 
TOTAL,PC_ACT,T,MT	 	 	 	 	 	 	 	 	 	 	6.7 	7.6 	7.4 	7.7 	7.2 	6.9 	6.8 	6.5 	6.0 	6.9 	6.9 	6.4 	6.3 	6.4 	5.8 	5.4 	4.8 
TOTAL,PC_ACT,T,NL	6.1 	5.7 	5.7 	6.5 	7.2 	8.3 	7.7 	6.5 	5.1 	4.2 	3.7 	3.1 	3.7 	4.8 	5.7 	5.9 	5.0 	4.2 	3.7 	4.4 	5.0 	5.0 	5.8 	7.3 	7.4 	6.9 	6.0 
TOTAL,PC_ACT,T,NO	5.2 	5.5 	5.9 	6.0 	5.4 	4.9 b	4.7 	3.9 b	3.1 	3.0 	3.2 	3.4 	3.7 	4.2 	4.3 	4.5 	3.4 b	2.5 	2.5 	3.2 	3.6 	3.3 	3.2 	3.5 	3.5 	4.4 	4.7 
TOTAL,PC_ACT,T,PL	 	 	 	 	 	 	 	10.9 	10.2 	13.4 	16.1 	18.3 	20.0 	19.8 	19.1 	17.9 	13.9 	9.6 	7.1 	8.1 	9.7 	9.7 	10.1 	10.3 	9.0 	7.5 	6.2 
TOTAL,PC_ACT,T,PT	5.6 	5.0 	5.0 	6.3 	7.6 	7.9 	8.0 	7.5 	6.1 	5.5 	5.1 	5.1 	6.2 	7.4 	7.8 	8.8 	8.9 	9.1 	8.8 	10.7 	12.0 	12.9 	15.8 	16.4 	14.1 	1	
